subject,day,trial,cat,x,y,xt,yt,resp,rt,fb
6,8,0,B,61.310604182965555,47.67022303255881,3.0655302091482777,0.7488021123703684,A,1431.9452000199817,Incorrect
6,8,1,B,52.417035500826714,26.846375105323634,2.620851775041336,0.4217018740320032,A,1206.7393999896012,Incorrect
6,8,2,A,31.601216278630226,42.97179598276105,1.5800608139315113,0.6749993928550075,A,734.8274000105448,Correct
6,8,3,B,65.15403189782135,55.168036355964354,3.257701594891068,0.8665774886443611,B,797.4752000300214,Correct
6,8,4,A,47.130111713000474,66.39831536347623,2.356505585650024,1.042982298783176,A,1066.273500036914,Correct
6,8,5,B,57.84484560428046,49.451142091603295,2.8922422802140226,0.7767767235330295,B,750.3679000074044,Correct
6,8,6,B,68.66634250878809,38.53258753636101,3.4333171254394044,0.6052684696401869,B,1033.5536999627948,Correct
6,8,7,A,27.0780146543802,53.37986618713106,1.35390073271901,0.8384889773154857,A,705.693700001575,Correct
6,8,8,B,47.72012394074788,17.382150566585644,2.3860061970373945,0.27303818261788565,B,1502.3042999673635,Correct
6,8,9,A,48.00071738739543,71.4665689842695,2.4000358693697716,1.1225942404912461,A,1536.3459999789484,Correct
6,8,10,B,38.39581801675415,24.357699516626194,1.9197909008377076,0.38260984929890257,B,2205.300999979954,Correct
6,8,11,A,32.62558638930555,60.35544305585335,1.6312793194652777,0.9480610825421297,A,892.5841000163928,Correct
6,8,12,B,70.83891295592169,40.406743310333546,3.541945647796084,0.6347076396961618,B,1194.6908999816515,Correct
6,8,13,A,50.19896738428807,69.47564995739326,2.5099483692144036,1.0913209575476135,A,1010.9595999820158,Correct
6,8,14,A,40.64894164686296,60.10472124890772,2.032447082343148,0.9441227536081543,A,2737.775999994483,Correct
6,8,15,A,19.901287542373122,34.48155647279664,0.9950643771186561,0.5416350224963975,A,1247.7911000023596,Correct
6,8,16,B,50.824159643092976,21.740726078017165,2.5412079821546487,0.34150252665203384,B,1201.6079000313766,Correct
6,8,17,A,57.95122273975967,76.96119805968131,2.8975611369879832,1.2089036721788193,B,1462.1057999902405,Incorrect
6,8,18,B,60.25205069001441,37.655104350370664,3.0126025345007204,0.5914849959864077,B,1532.2580999927595,Correct
6,8,19,B,68.88236078611558,44.345262872402266,3.444118039305779,0.6965737603072358,B,1340.4967000242323,Correct
6,8,20,B,34.98055217136496,22.70304662481701,1.7490276085682481,0.3566186224531583,A,801.1841000407003,Incorrect
6,8,21,B,48.207204284517886,18.491454957765153,2.4103602142258946,0.29046309524750785,B,1110.5125999893062,Correct
6,8,22,B,40.26301134782675,26.60992115409826,2.0131505673913375,0.41798766405159365,B,842.5695999758318,Correct
6,8,23,A,30.73411539525818,48.89785606143996,1.536705769762909,0.7680857268945546,A,820.0350999832153,Correct
6,8,24,B,56.509794915415675,47.35517496418353,2.8254897457707835,0.7438533488846915,B,1901.9865000154823,Correct
6,8,25,A,18.200583260950488,42.85931712671635,0.9100291630475243,0.6732325791158364,B,1663.4807999944314,Incorrect
6,8,26,A,61.913289741042774,74.74461464274056,3.095664487052139,1.174085661285169,B,580.7177000096999,Incorrect
6,8,27,B,49.65185228567853,30.48066441294046,2.4825926142839263,0.478789156981148,B,826.7868999973871,Correct
6,8,28,A,48.584023069685315,64.89693233645484,2.4292011534842657,1.019398629343602,B,949.7193999704905,Incorrect
6,8,29,B,43.31215094065125,16.593749009879982,2.1656075470325624,0.26065399992475924,B,818.6620000051335,Correct
6,8,30,B,38.422324783697235,24.396522487389493,1.9211162391848617,0.3832196790976051,B,791.1423000041395,Correct
6,8,31,B,73.35311632900121,52.50633106233312,3.6676558164500603,0.8247675196618963,B,683.9746999903582,Correct
6,8,32,A,63.98053841214556,87.5055154909974,3.1990269206072783,1.3745334230755264,A,811.750499997288,Correct
6,8,33,B,63.25299855754878,31.323785896897007,3.162649927877439,0.492032878281556,B,1102.3464999743737,Correct
6,8,34,A,35.84907110361132,52.207279629200826,1.792453555180566,0.8200700307350269,A,1380.3278999985196,Correct
