subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,resp_key
13,24,0,B,61.490880853518085,52.73664408412849,3.074544042675904,0.8283852681483885,B,1322.6705999695696,Correct,d
13,24,1,B,46.295043813224744,18.388046114605473,2.314752190661237,0.2888387529375745,B,574.0448000142351,Correct,d
13,24,2,A,12.961304747549978,32.04242081317135,0.6480652373774989,0.503321169149459,A,678.038599959109,Correct,k
13,24,3,A,40.71900595205036,50.45314076521965,2.035950297602518,0.7925160818927289,B,683.603800018318,Incorrect,d
13,24,4,A,56.93307226736808,75.07313533629221,2.8466536133684044,1.1792460522722394,A,601.4702999964356,Correct,k
13,24,5,A,32.43518100754166,65.61081678844566,1.6217590503770827,1.0306123000930336,A,492.39899998065084,Correct,k
13,24,6,A,58.847954364043744,83.31984920437893,2.942397718202187,1.308785130793431,A,495.62199995853007,Correct,k
13,24,7,B,64.71328172895237,38.63252237794968,3.2356640864476187,0.60683824246105,B,491.92800000309944,Correct,d
13,24,8,A,30.096755864348385,47.52649409838188,1.5048377932174193,0.7465444235517761,B,753.0752000166103,Incorrect,d
13,24,9,B,53.95090042657195,45.73925001032967,2.6975450213285974,0.7184704590657928,A,1273.2596999849193,Incorrect,k
13,24,10,B,54.35073548926652,29.27279774214402,2.717536774463326,0.45981603168369767,B,519.2026000004262,Correct,d
13,24,11,A,50.88246697083464,65.02500080944701,2.544123348541732,1.0214103242131454,B,502.33679998200387,Incorrect,d
13,24,12,B,48.043918626450306,25.55806419482673,2.4021959313225154,0.4014651335722199,B,831.0019000200555,Correct,d
13,24,13,A,32.487297626530406,52.50425343103011,1.6243648813265201,0.8247348843057044,A,603.7525999709032,Correct,k
13,24,14,A,50.867264145838064,65.99638156116916,2.5433632072919035,1.0366687373803896,A,520.8621000056155,Correct,k
13,24,15,A,47.33976267250726,57.43613402121265,2.3669881336253633,0.9022046834582022,A,480.93899997184053,Correct,k
13,24,16,B,61.152685185054374,33.85129604972681,3.0576342592527186,0.5317349149215747,B,531.684200046584,Correct,d
13,24,17,B,82.83945741007858,53.56778966956399,4.141972870503929,0.8414408724747272,B,547.4984999746084,Correct,d
13,24,18,B,85.31518101777893,67.69258995197104,4.2657590508889465,1.0633127164778924,A,580.5942000006326,Incorrect,k
13,24,19,A,51.92021778125147,76.75341929577654,2.5960108890625735,1.2056398909875432,A,503.7811999791302,Correct,k
13,24,20,B,56.57322387741349,39.03462989552029,2.8286611938706745,0.6131545325768154,B,630.2628999692388,Correct,d
13,24,21,B,56.128821286828746,46.937722959411744,2.8064410643414375,0.7372960281276045,B,608.3116000518203,Correct,d
13,24,22,B,87.70208295049736,64.92485037821291,4.385104147524868,1.0198371649180507,A,556.464999972377,Incorrect,k
13,24,23,A,17.89110532526493,46.55624899555761,0.8945552662632466,0.7313038491157049,A,590.6350000295788,Correct,k
13,24,24,B,56.92860890282861,33.693228963157935,2.84643044514143,0.529252002931879,B,607.9876000294462,Correct,d
13,24,25,B,79.36717225218365,55.536499153337246,3.9683586126091823,0.8723652887311002,A,563.3507000165991,Incorrect,k
13,24,26,A,32.00407933922006,51.528875059888975,1.600203966961003,0.8094136766794675,A,512.2408000170253,Correct,k
13,24,27,B,71.33351491617222,47.33643579792401,3.5666757458086114,0.7435589947494149,B,568.1977000203915,Correct,d
13,24,28,B,64.85439274762034,53.92176817588587,3.242719637381017,0.8470011538496748,B,608.5459999740124,Correct,d
13,24,29,B,84.63732739475888,60.39461049327406,4.231866369737944,0.948676323210434,A,492.0165999792516,Incorrect,k
13,24,30,A,18.60171363159162,40.146288474379375,0.9300856815795809,0.6306164247000341,A,478.92419999698177,Correct,k
13,24,31,A,24.45033973810694,35.06205815166094,1.2225169869053472,0.5507535215449807,A,539.5355999935418,Correct,k
13,24,32,A,35.92187972524233,65.33808253312593,1.7960939862621164,1.0263282004285599,A,512.8712999867275,Correct,k
13,24,33,B,49.46752136786523,30.296749135435093,2.4733760683932617,0.47590022255767905,B,848.7161999801174,Correct,d
13,24,34,B,52.915575930874,45.5036949363257,2.6457787965437003,0.7147703686157594,B,386.4632000331767,Correct,d
13,24,35,B,76.19168894363658,50.82854488105556,3.8095844471818285,0.7984129159549161,A,487.03820002265275,Incorrect,k
13,24,36,B,52.53294210929369,36.282085194743445,2.6266471054646847,0.569917661523625,B,457.5475000310689,Correct,d
13,24,37,A,43.64977996845347,55.922426027755236,2.1824889984226736,0.8784274138985726,A,535.2872000075877,Correct,k
13,24,38,A,38.487864952486234,62.69073050041985,1.9243932476243117,0.9847436919414829,A,652.928100025747,Correct,k
13,24,39,A,27.31604289790078,55.7508825671655,1.365802144895039,0.875732815520772,A,467.61039999546483,Correct,k
13,24,40,A,61.28570363221745,75.44051183433058,3.0642851816108725,1.185016788808934,A,503.3789000008255,Correct,k
13,24,41,B,41.021541922182784,23.108723888056566,2.051077096109139,0.36299098600276736,B,384.353099972941,Correct,d
13,24,42,A,32.489654044641355,58.736139604544896,1.6244827022320678,0.9226251234093138,A,433.78910003229976,Correct,k
13,24,43,B,41.22155386025311,30.181749766748474,2.0610776930126553,0.47409381669851225,B,464.6093000192195,Correct,d
13,24,44,A,56.002647757850994,83.90405861454526,2.8001323878925497,1.3179618707491139,A,403.1457999954,Correct,k
13,24,45,A,49.2472343397592,77.60457159254423,2.46236171698796,1.2190097600006005,A,574.7661999776028,Correct,k
13,24,46,B,53.90522196178828,28.183481641497032,2.695261098089414,0.44270509438754946,B,455.7472000014968,Correct,d
13,24,47,B,51.80241837384805,39.072869922755075,2.5901209186924024,0.6137552055199846,B,395.38010000251234,Correct,d
13,24,48,A,50.237319762129076,74.59106694070348,2.511865988106454,1.1716737396216925,A,401.27059997757897,Correct,k
13,24,49,B,53.4599181640747,33.006913424684065,2.672995908203735,0.5184713836633089,B,437.0624999864958,Correct,d
13,24,50,B,69.49587854076343,39.962705775164075,3.4747939270381716,0.6277327144041291,B,522.2751999972388,Correct,d
13,24,51,B,41.0307353729192,18.930608972735172,2.0515367686459602,0.2973613103836292,B,483.3883999963291,Correct,d
13,24,52,B,76.43747813556573,48.49871248248585,3.821873906778286,0.7618159942177057,B,439.3567999941297,Correct,d
13,24,53,A,32.198586201971565,57.71515980695588,1.6099293100985783,0.9065876102514674,A,491.17250001290813,Correct,k
13,24,54,A,36.40546496579205,53.73518609764816,1.8202732482896025,0.8440703294182593,A,469.1412999527529,Correct,k
13,24,55,A,57.73721944820538,73.61225956981158,2.886860972410269,1.156298669393325,A,590.5247000046074,Correct,k
13,24,56,B,61.28768649321043,33.37958937309102,3.0643843246605216,0.5243253637717334,B,634.5212999731302,Correct,d
13,24,57,B,43.735394605487194,36.27517277210833,2.1867697302743596,0.5698090814427801,B,530.9820999973454,Correct,d
13,24,58,B,51.5751499459131,37.55057842340124,2.578757497295655,0.5898431065650237,B,435.35540002631024,Correct,d
13,24,59,B,67.60373854101958,49.89426160888859,3.3801869270509792,0.7837372286338583,B,371.60700000822544,Correct,d
13,24,60,A,12.541009532587712,37.25960027774008,0.6270504766293855,0.5852724325412022,A,424.47219998575747,Correct,k
13,24,61,B,56.437334480104745,32.513646862850536,2.821866724005237,0.5107231706287203,B,362.45090002194047,Correct,d
13,24,62,A,62.29764361134342,76.59073799372685,3.1148821805671707,1.2030844990705645,A,367.88929998874664,Correct,k
13,24,63,A,65.04016127142448,77.73550126030099,3.2520080635712243,1.2210663984124086,A,662.758800026495,Correct,k
13,24,64,A,37.142456443786045,56.537196578494914,1.8571228221893024,0.8880842071278081,A,554.2075000121258,Correct,k
13,24,65,B,39.57340977952169,23.551534522181356,1.9786704889760844,0.36994663917825676,B,536.0893000033684,Correct,d
13,24,66,A,57.49628093928201,84.47664880061001,2.8748140469641004,1.3269560963594071,A,367.8982999990694,Correct,k
13,24,67,B,36.19416656843695,24.66504555357634,1.8097083284218474,0.38743762955786515,B,522.2360000479966,Correct,d
13,24,68,A,37.5325510040442,45.51132387969375,1.87662755020221,0.714890203777958,B,484.93210005108267,Incorrect,d
13,24,69,A,54.79971190963376,75.81781128436867,2.739985595481688,1.1909433947111496,A,608.5804000031203,Correct,k
13,24,70,A,29.7746836422118,43.41333506108673,1.48873418211059,0.6819350724787113,A,831.7340000066906,Correct,k
13,24,71,A,30.910401010364456,62.19194173086948,1.5455200505182227,0.9769087362709202,A,486.1232999828644,Correct,k
13,24,72,A,36.98434156325014,62.324003982249636,1.8492170781625072,0.9789831652646822,A,445.30600000871345,Correct,k
13,24,73,A,11.936863275904198,31.673255094671763,0.59684316379521,0.4975223276034815,B,452.53070001490414,Incorrect,d
13,24,74,B,63.09021345782121,47.693147884786626,3.1545106728910604,0.7491622151070861,B,729.6450000139885,Correct,d
13,24,75,A,45.35632758977004,76.39056461804084,2.2678163794885022,1.1999401830380674,A,457.5833000126295,Correct,k
13,24,76,B,39.47737697731817,12.383346626997966,1.9738688488659084,0.19451715395116378,B,435.558500001207,Correct,d
13,24,77,B,55.64822346940493,38.465994222507014,2.782411173470247,0.6042224243122774,B,683.1303000217304,Correct,d
13,24,78,A,24.14804631800633,49.39730301639038,1.2074023159003164,0.7759310213172047,A,418.02819998702034,Correct,k
13,24,79,A,38.70537665479197,47.9980843758123,1.9352688327395984,0.7539521463071746,A,498.04259999655187,Correct,k
13,24,80,B,70.6433944121392,59.10786862381249,3.53216972060696,0.9284642291895998,B,544.7080000303686,Correct,d
13,24,81,B,50.49811030702308,31.670507964057567,2.524905515351154,0.4974791757767014,B,453.70130002265796,Correct,d
13,24,82,A,32.89076598309305,62.25526547466387,1.6445382991546524,0.9779034233124315,A,419.68790005194023,Correct,k
13,24,83,A,10.319044624871172,32.16933398233799,0.5159522312435585,0.5053147165489476,A,386.2223000032827,Correct,k
13,24,84,A,34.931608834866296,56.52516546634092,1.7465804417433148,0.8878952228600204,A,458.8860999792814,Correct,k
13,24,85,B,56.95608435060967,36.70862628938476,2.8478042175304834,0.5766177533705216,B,519.8245000210591,Correct,d
13,24,86,A,31.469378654489923,53.66043431653422,1.5734689327244962,0.8428961311863077,A,494.4849000312388,Correct,k
13,24,87,B,60.57939129965544,48.81231636080807,3.0289695649827717,0.7667420724190775,A,524.976400018204,Incorrect,k
13,24,88,A,15.068317023619777,41.165620362177286,0.7534158511809889,0.6466280525514128,A,506.40610000118613,Correct,k
13,24,89,B,72.94104203930733,54.31256336464986,3.6470521019653663,0.8531397503200706,A,518.7761000124738,Incorrect,k
13,24,90,A,62.48614158211002,78.31816280167567,3.1243070791055008,1.2302188245019683,B,525.4728000145406,Incorrect,d
13,24,91,A,23.626525034724224,42.86066885552151,1.1813262517362113,0.6732538120222561,A,587.4433999997564,Correct,k
13,24,92,A,67.16167908665344,84.11565163823474,3.3580839543326717,1.3212855661929823,A,381.6462000249885,Correct,k
13,24,93,B,62.556817142288665,32.70739843904971,3.127840857114433,0.5137666132707642,B,482.38970001693815,Correct,d
13,24,94,A,53.00363059733314,72.89006891516186,2.650181529866657,1.1449545251176312,B,382.4976999894716,Incorrect,d
13,24,95,A,51.33983252525709,82.06972612756525,2.5669916262628543,1.2891482434224264,A,416.7924000066705,Correct,k
13,24,96,A,61.225876853409304,88.15458412726679,3.0612938426704654,1.3847289693724236,A,364.0758999972604,Correct,k
13,24,97,B,30.927487354904407,14.701473826888261,1.5463743677452202,0.23093021085747395,A,339.03660002397373,Incorrect,k
13,24,98,B,46.72987000423863,26.16485087285101,2.3364935002119314,0.41099651642210605,B,682.3345999582671,Correct,d
13,24,99,A,47.494218776751374,55.23964564823767,2.374710938837569,0.8677023247770342,A,491.72579997684807,Correct,k
13,24,100,A,15.374330804995118,32.46702774254098,0.7687165402497559,0.5099908791993137,A,436.9470999808982,Correct,k
13,24,101,A,15.847897430361343,45.12403133367643,0.7923948715180671,0.7088066266911676,A,413.78140001324937,Correct,k
13,24,102,B,33.11299419618555,19.577530959852105,1.6556497098092775,0.30752313719449054,A,452.431500016246,Incorrect,k
13,24,103,B,50.53422845661693,32.12560847791266,2.5267114228308465,0.5046278779315618,B,467.2648000414483,Correct,d
13,24,104,A,56.6055715989193,81.99954580257763,2.830278579945965,1.288045853455388,A,293.12669998034835,Correct,k
13,24,105,B,52.31899256601429,28.004495878413696,2.615949628300714,0.4398935925955506,B,470.31399997649714,Correct,d
13,24,106,B,81.4987712661364,64.51316245724018,4.074938563306819,1.0133703861775532,A,435.7854000409134,Incorrect,k
13,24,107,B,59.87637726135366,36.849115312204646,2.993818863067683,0.5788245497805263,B,613.8845999957994,Correct,d
13,24,108,A,49.01320710185071,70.49705578540983,2.4506603550925354,1.1073651627757666,A,497.3199999658391,Correct,k
13,24,109,B,59.1789166951002,33.40067739617994,2.95894583475501,0.5246566136638077,B,514.4435000256635,Correct,d
13,24,110,A,30.096423573547177,47.65816454889346,1.5048211786773589,0.748612698151886,B,384.1573999961838,Incorrect,d
13,24,111,A,54.22249308783725,74.43190151310522,2.711124654391863,1.169173574931452,A,426.67959997197613,Correct,k
13,24,112,A,23.460068915333437,35.083612722398016,1.1730034457666718,0.551092099950375,B,479.85699999844655,Incorrect,d
13,24,113,A,35.633888781845926,50.66207546942838,1.7816944390922964,0.7957980205518393,A,435.1204000413418,Correct,k
13,24,114,B,38.702444976287076,23.85278133015629,1.9351222488143538,0.3746786129725138,B,464.04710004571825,Correct,d
13,24,115,A,45.12175462890841,76.35660772817197,2.2560877314454206,1.1994067894593132,A,316.89899996854365,Correct,k
13,24,116,A,49.65967712758971,74.86503116885258,2.4829838563794855,1.1759771596541906,A,323.4249000088312,Correct,k
13,24,117,B,49.37889680256991,28.294783152333586,2.4689448401284952,0.4444534144314372,B,631.8436000146903,Correct,d
13,24,118,B,73.7828548849831,47.124561225974354,3.6891427442491547,0.7402308767558172,B,432.1356000145897,Correct,d
13,24,119,A,53.442346127682214,82.62481704653595,2.6721173063841106,1.2978675911879902,A,352.74780000327155,Correct,k
13,24,120,B,35.96237536571923,23.64915378607433,1.7981187682859616,0.37148003898973175,B,534.2941000126302,Correct,d
13,24,121,A,43.572241266376196,55.44178641438164,2.1786120633188095,0.8708775445065787,A,366.91440001595765,Correct,k
13,24,122,B,56.97161089219859,46.61252912207653,2.8485805446099293,0.7321878952757795,B,494.48380002286285,Correct,d
13,24,123,B,76.853652058497,55.69355086992792,3.8426826029248504,0.874832251326475,A,580.6711000041105,Incorrect,k
13,24,124,A,33.987017477522606,57.818341899724714,1.6993508738761305,0.9082083907745905,A,387.79389997944236,Correct,k
13,24,125,B,64.74398830912727,56.15642816401426,3.237199415456364,0.8821031108595508,B,445.85750001715496,Correct,d
13,24,126,B,31.551277097398877,16.58285372501148,1.577563854869944,0.26048285719025094,B,496.39649997698143,Correct,d
13,24,127,B,34.621138694756695,10.4698556537567,1.7310569347378348,0.16446010802993802,B,387.109600007534,Correct,d
13,24,128,B,56.757474273313626,35.10729914470163,2.8378737136656813,0.5514641654018693,B,566.3175000227056,Correct,d
13,24,129,B,55.53086400546637,35.99233853268013,2.776543200273318,0.5653663315989237,A,2821.6958999983035,Incorrect,k
13,24,130,A,34.097810244862295,66.6096003917088,1.7048905122431148,1.0463011562457207,A,570.6550999893807,Correct,k
13,24,131,B,55.378662093232506,32.37550317032212,2.7689331046616252,0.5085532145807851,B,630.4485999862663,Correct,d
13,24,132,B,38.621380980131185,27.686816628285357,1.9310690490065594,0.434903498603545,B,369.50739996973425,Correct,d
13,24,133,B,83.38007444953068,67.64042456065738,4.169003722476535,1.0624933044272793,A,344.10420001950115,Incorrect,k
13,24,134,B,57.89148509368759,29.532484893142485,2.89457425468438,0.46389518791273987,B,405.37039999617264,Correct,d
13,24,135,A,43.47766150882076,75.40198077175766,2.173883075441038,1.1844115442933638,A,469.66879995306954,Correct,k
13,24,136,A,55.266015857714784,77.86163690802687,2.7633007928857394,1.2230477325336655,B,772.9664999642409,Incorrect,d
13,24,137,A,28.008184274275994,53.801642788616576,1.4004092137137996,0.8451142286789004,A,388.437999994494,Correct,k
13,24,138,B,30.434005191555787,11.234429980324752,1.5217002595777893,0.17647001346728583,B,506.0183000168763,Correct,d
13,24,139,B,79.0854468397149,64.51724504009873,3.954272341985745,1.0134345152391335,A,342.5983999622986,Incorrect,k
13,24,140,B,36.28227511435198,14.175788323358454,1.8141137557175993,0.22267276227753444,B,1030.8759000035934,Correct,d
13,24,141,B,88.17801722896476,67.26655591573717,4.408900861448238,1.0566205894858347,A,490.91389996465296,Incorrect,k
13,24,142,A,11.573877214032525,31.47223383516491,0.5786938607016262,0.49436469304307096,A,464.82619998278096,Correct,k
13,24,143,B,43.671555218868974,14.624650093378026,2.183577760943449,0.22972346647338845,B,388.93009995808825,Correct,d
13,24,144,B,68.60873708043553,59.155416390992706,3.4304368540217762,0.9292111077699394,A,381.3827999983914,Incorrect,k
13,24,145,A,58.20148671687885,70.02914805773409,2.9100743358439423,1.1000152853766467,A,343.6307999654673,Correct,k
