subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,ns_left_digit,ns_right_digit,ns_left_size,ns_right_size,ns_congruent,ns_cue,ns_correct_side,ns_resp,ns_rt,ns_fb
18,22,0,A,44.44052285141573,58.75556129494762,2.2220261425707863,0.9229301986087612,B,1000.9386659949087,Incorrect,2,8,big,small,False,Value,right,right,2149.2629580025095,Correct
18,22,1,B,71.65899524986347,54.31572163620928,3.582949762493173,0.8531893603337163,A,1312.719041001401,Incorrect,2,3,big,small,False,Value,right,right,829.0542910035583,Correct
18,22,2,B,35.966023074058484,20.925709300489775,1.798301153702924,0.32870027304787136,A,1079.512790995068,Incorrect,5,4,small,big,False,Value,left,right,1030.9811659972183,Incorrect
18,22,3,A,47.5247911976349,76.05780908746787,2.376239559881745,1.1947132713866202,B,662.5828739997814,Incorrect,2,3,big,small,False,Value,right,left,2666.1825830015005,Incorrect
18,22,4,B,50.76691293809241,35.30681243260961,2.5383456469046206,0.5545981127997955,B,1552.3356670018984,Correct,7,8,big,small,False,Value,right,left,2436.274040999706,Incorrect
18,22,5,B,42.7232244952834,33.821935413113124,2.13616122476417,0.5312737191201232,A,867.7205420026439,Incorrect,8,3,small,big,False,Value,left,right,2078.6530830009724,Incorrect
18,22,6,A,66.48202092198355,84.4858204350538,3.3241010460991776,1.3271001640563571,B,894.3109160027234,Incorrect,6,5,big,small,True,Value,left,left,610.3952909979853,Correct
18,22,7,A,13.215879967598873,41.37835295680679,0.6607939983799437,0.6499696483337486,A,1429.8576250002952,Correct,6,7,big,small,False,Value,right,right,449.6218329950352,Correct
18,22,8,A,45.00895417359393,71.40500038119832,2.2504477086796966,1.121627123135745,A,1419.8907909958507,Correct,8,3,small,big,False,Size,right,right,1516.7359160041087,Correct
18,22,9,B,59.062266744135485,31.927350242164394,2.9531133372067746,0.5015136448468598,A,939.3672080041142,Incorrect,5,2,small,big,False,Value,left,left,1342.5318750014412,Correct
18,22,10,A,27.241403068840135,57.73556731393349,1.3620701534420068,0.9069081706214622,A,786.9390000050771,Correct,5,8,big,small,False,Value,right,right,1769.9464999968768,Correct
18,22,11,A,54.43909873255011,62.47999428282501,2.7219549366275055,0.9814334551762767,A,625.9005829997477,Correct,3,7,big,small,False,Value,right,right,821.4319170001545,Correct
18,22,12,B,62.549127322026706,50.38072880388316,3.1274563661013355,0.791378637463895,A,498.1123329998809,Incorrect,4,8,big,small,False,Size,left,left,867.5312499981374,Correct
18,22,13,A,30.906403951485046,58.73038123154035,1.5453201975742525,0.9225346710976752,A,725.9072079978068,Correct,4,3,small,big,False,Value,left,left,1951.2615829953575,Correct
18,22,14,B,52.42587885518352,41.82622090951134,2.621293942759176,0.6570047416837231,A,626.1656659989967,Incorrect,4,2,small,big,False,Size,right,right,734.8893750022398,Correct
18,22,15,A,14.238566844584803,32.78236713581143,0.7119283422292401,0.5149442188057431,A,390.7848329981789,Correct,6,7,big,small,False,Size,left,right,522.0629579998786,Incorrect
18,22,16,B,74.05978580314931,54.273022480433596,3.7029892901574657,0.8525186435632195,B,796.2857079983223,Correct,3,7,big,small,False,Value,right,right,943.6213750013849,Correct
18,22,17,A,13.801142615025242,30.102397793154193,0.6900571307512621,0.47284735881205414,A,642.4487910044263,Correct,2,8,big,small,False,Value,right,right,1144.9334579956485,Correct
18,22,18,B,88.75123208213367,62.91585727346149,4.437561604106683,0.9882799750230529,B,798.6165409965906,Correct,7,2,small,big,False,Size,right,right,868.962583001121,Correct
18,22,19,A,46.54116562218374,53.620977678354734,2.327058281109187,0.8422763477631077,A,481.5072080018581,Correct,2,8,big,small,False,Value,right,right,874.0329159991234,Correct
18,22,20,A,63.69270916829828,74.38200838312254,3.184635458414914,1.168389855478361,A,600.8615829996415,Correct,8,2,small,big,False,Value,left,left,731.6362490018946,Correct
18,22,21,A,58.316119607149474,72.70978390216362,2.9158059803574736,1.142122614755693,B,520.2950410021003,Incorrect,7,3,small,big,False,Value,left,left,535.1834579996648,Correct
18,22,22,B,78.82102660983526,60.75120134415792,3.9410513304917627,0.9542776391978044,B,402.29770799487596,Correct,7,2,small,big,False,Value,left,left,624.2098329967121,Correct
18,22,23,B,60.583378550895276,41.02465922287725,3.029168927544764,0.6444138401530797,B,4261.071582994191,Correct,3,4,big,small,False,Value,right,left,1197.4374579949654,Incorrect
18,22,24,A,47.37757992319234,66.5746833366423,2.368878996159617,1.0457526804273112,A,1134.88554200012,Correct,3,4,big,small,False,Value,right,left,1025.8450410037767,Incorrect
18,22,25,A,19.820666288254166,36.686214769544065,0.9910333144127083,0.576265714040085,A,1293.646999001794,Correct,3,6,big,small,False,Size,left,right,1443.08083299984,Incorrect
18,22,26,B,47.601814969153665,38.62840348484433,2.3800907484576834,0.6067735430394465,A,1185.613875000854,Incorrect,6,2,big,small,True,Value,left,left,981.6337080046651,Correct
18,22,27,B,74.36396105964458,47.73897275825609,3.718198052982229,0.7498820305363031,B,618.6394579999615,Correct,8,4,small,big,False,Value,left,left,1082.5755420009955,Correct
18,22,28,A,53.35705399001438,68.2650042740234,2.667852699500719,1.0723041796227386,A,710.8776239983854,Correct,4,5,big,small,False,Size,left,left,760.3118329934659,Correct
18,22,29,A,60.106740522614075,84.13875704342871,3.0053370261307037,1.3216485050490605,A,708.5636670017266,Correct,4,2,small,big,False,Size,right,right,732.6412920010625,Correct
18,22,30,A,24.975450513412124,38.74621540201225,1.2487725256706061,0.6086241283068469,A,539.9959579954157,Correct,8,6,small,big,False,Value,left,left,671.9779579943861,Correct
18,22,31,B,52.57969910632825,27.236522378800288,2.628984955316412,0.4278302930728649,B,587.5495830041473,Correct,4,7,big,small,False,Value,right,left,736.1956660024589,Incorrect
18,22,32,A,21.724619267532546,52.72288258717672,1.0862309633766274,0.8281691030597581,A,396.7861239943886,Correct,3,7,small,big,True,Value,right,right,772.7594999960274,Correct
18,22,33,A,49.889386134298476,74.29889242118318,2.494469306714924,1.1670842730012372,A,317.0360830044956,Correct,5,6,big,small,False,Size,left,right,932.1890409992193,Incorrect
18,22,34,B,62.33729657144434,32.915331736183965,3.1168648285722167,0.5170328218643326,A,539.4740409974474,Incorrect,3,8,big,small,False,Value,right,right,691.1765409968211,Correct
18,22,35,B,61.14563129142327,37.93726778114954,3.0572815645711637,0.5959172087926407,A,311.8372500030091,Incorrect,7,8,big,small,False,Value,right,right,727.7025420044083,Correct
18,22,36,A,55.058151519849154,67.72393741200497,2.7529075759924577,1.063805121228649,A,474.41916599927936,Correct,5,2,small,big,False,Size,right,right,2352.591457995004,Correct
