subject,day,trial,cat,x,y,xt,yt,resp,rt,fb
4,12,0,A,59.6372905824244,74.12084204987475,2.9818645291212196,1.1642874643088796,A,925.5246999673545,Correct
4,12,1,B,53.22519223750472,22.93358822050569,2.661259611875236,0.3602399613699705,B,577.9639999382198,Correct
4,12,2,A,47.364823904880026,62.679467383360446,2.3682411952440017,0.9845667713124312,A,434.0274999849498,Correct
4,12,3,A,42.543568374895344,65.02385452589935,2.1271784187447675,1.0213923184332843,A,414.044399978593,Correct
4,12,4,B,48.756807811002375,18.94548772759006,2.437840390550119,0.29759502531836257,B,1152.7623999863863,Correct
4,12,5,A,20.43466908342345,50.33586615419621,1.0217334541711725,0.7906739366105097,A,562.0467999251559,Correct
4,12,6,A,57.27998007509882,83.87029537823976,2.863999003754941,1.31743151907342,A,477.85580006893724,Correct
4,12,7,A,41.612222420857016,70.68266558403285,2.080611121042851,1.1102807146747085,A,471.32880007848144,Correct
4,12,8,A,28.653188455594737,46.28998157802977,1.432659422779737,0.7271213303017259,A,497.3312000511214,Correct
4,12,9,B,48.207964139330045,22.170664166925107,2.4103982069665024,0.3482559783600919,B,452.695699990727,Correct
4,12,10,A,33.03677930215409,60.78564785928175,1.6518389651077043,0.9548187237920784,A,436.8426000000909,Correct
4,12,11,A,10.410465877316948,32.95073694378014,0.5205232938658475,0.5175889655647474,A,426.0736000724137,Correct
4,12,12,B,39.49576842874512,15.438101792272125,1.9747884214372562,0.24250113587986766,B,914.0418999595568,Correct
4,12,13,A,33.06475050502733,57.571154705092816,1.6532375252513662,0.9043255834010051,A,353.6727000027895,Correct
4,12,14,A,57.46434289471959,77.88849891753807,2.87321714473598,1.2234696799923708,A,419.5651999907568,Correct
4,12,15,B,34.779126575453766,20.431679108967714,1.7389563287726884,0.32094006494618504,B,1689.3958000000566,Correct
4,12,16,B,38.733086198542445,26.33011952710668,1.9366543099271223,0.4135925503724976,B,701.3793000951409,Correct
4,12,17,A,50.41950559531137,58.51112516232624,2.5209752797655685,0.919090604816185,B,1123.5772999934852,Incorrect
4,12,18,A,51.47616045012452,69.61051489191583,2.573808022506226,1.0934394109852283,A,510.584200033918,Correct
4,12,19,A,21.863373854174668,39.442145546480205,1.0931686927087334,0.619555773453208,A,794.1079000011086,Correct
4,12,20,B,69.15891065977657,60.11524353365404,3.4579455329888282,0.9442880372704442,B,542.8983999881893,Correct
4,12,21,B,66.76087336394099,48.52008072105755,3.338043668197049,0.7621516457242907,B,5084.654800011776,Correct
4,12,22,B,77.31757715434179,47.32781459794137,3.8658788577170897,0.7434235732567618,B,2607.686100061983,Correct
4,12,23,B,70.14325256037941,46.57091140514429,3.5071626280189707,0.731534165706912,B,1640.5054000206292,Correct
4,12,24,B,64.41776432114052,31.97119087124224,3.220888216057026,0.5022022918380584,B,1255.2067999495193,Correct
4,12,25,A,55.62122794365193,72.92183959767189,2.781061397182597,1.1454535778314965,A,821.8707999913022,Correct
4,12,26,B,70.91304683618313,40.85350147492686,3.5456523418091566,0.6417253005352499,B,853.1478999648243,Correct
4,12,27,B,61.454250516214046,46.35873779628482,3.0727125258107026,0.7282013504525193,B,1866.1548999371007,Correct
4,12,28,A,46.45829660474931,55.58790351054034,2.3229148302374654,0.8731727464858591,A,866.9054999481887,Correct
4,12,29,B,84.48380716506968,66.22355508668485,4.224190358253484,1.0402371707746407,B,2858.25010004919,Correct
4,12,30,A,47.20260477070029,74.88449429569766,2.3601302385350147,1.1762828857357528,A,697.9902999009937,Correct
4,12,31,A,29.022593546646334,51.34108310730824,1.4511296773323168,0.806463847586313,A,936.5122999297455,Correct
4,12,32,A,41.975802576526974,67.7760769145304,2.098790128826349,1.0646241266191274,A,1089.5211999304593,Correct
4,12,33,B,50.446081205621034,41.10836657038891,2.522304060281052,0.6457287120930502,B,1844.7534999577329,Correct
4,12,34,B,69.88404019025342,44.9100110597915,3.4942020095126707,0.7054448040903867,B,4436.160999932326,Correct
4,12,35,B,57.585201714005784,28.18215064426016,2.879260085700289,0.44268418713184293,B,3881.951699964702,Correct
4,12,36,B,56.00495673110766,34.533565635499556,2.8002478365553833,0.5424519805137318,B,1333.9944999897853,Correct
4,12,37,A,60.56381458484814,76.7569177864033,3.028190729242407,1.2056948451498017,A,1402.2462000139058,Correct
