subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,resp_key
7,23,0,A,27.59333180377449,48.63878219893296,1.3796665901887246,0.7640162041786088,A,1045.3664159867913,Correct,k
7,23,1,B,63.29784736642946,33.604453354345374,3.164892368321473,0.5278575189295616,B,1121.3162910426036,Correct,d
7,23,2,B,69.24903015024053,58.160819903939824,3.4624515075120263,0.9135880226848818,A,2114.130000001751,Incorrect,k
7,23,3,A,25.777591549240153,54.270206375883745,1.2888795774620077,0.8524744082963915,A,1078.3707910450175,Correct,k
7,23,4,B,44.03744112824093,26.716247978965555,2.2018720564120464,0.41965784191100675,B,1099.9974160222337,Correct,d
7,23,5,B,37.610427426067176,14.270419737706074,1.8805213713033588,0.2241592290581009,B,841.8398330686614,Correct,d
7,23,6,A,50.52396103606122,79.50175004112785,2.5261980518030613,1.2488105693836964,A,815.8966659102589,Correct,k
7,23,7,B,47.263478020749474,19.17702315424802,2.3631739010374737,0.3012319752955347,B,808.3642079727724,Correct,d
7,23,8,A,19.313840986470865,50.78706636254339,0.9656920493235432,0.7977613729097182,A,732.4588749324903,Correct,k
7,23,9,B,67.01244455827778,54.94990683298608,3.3506222279138886,0.8631511181097632,B,2606.299165985547,Correct,d
7,23,10,B,58.371755962485,48.64826605248879,2.91858779812425,0.7641651762019026,B,882.3463740991428,Correct,d
7,23,11,A,62.683158364379786,75.93300143829043,3.1341579182189894,1.192752797417782,A,1841.3162910146639,Correct,k
7,23,12,B,57.045631583948435,37.633752128223925,2.8522815791974216,0.5911495960652378,B,1901.9414989743382,Correct,d
7,23,13,B,71.42379247154857,38.840203430548286,3.5711896235774283,0.6101004888067179,B,1820.0512499315664,Correct,d
7,23,14,A,16.42337451475549,36.998443606247555,0.8211687257377746,0.5811701931382178,A,726.9399990327656,Correct,k
7,23,15,B,61.97273398241379,45.99951793912437,3.0986366991206897,0.7225587381311251,A,1589.6722910692915,Incorrect,k
7,23,16,B,74.34432904943223,55.113054280777746,3.717216452471612,0.8657138322269344,B,1959.7173739457503,Correct,d
7,23,17,A,61.60993074645,79.26590478813652,3.0804965373224995,1.2451059208127886,A,1698.8554160343483,Correct,k
7,23,18,A,65.4480846012748,76.39411483107921,3.27240423006374,1.1999959496540675,A,800.4807500401512,Correct,k
7,23,19,B,64.88882727664118,52.58240068424668,3.244441363832059,0.8259624184887214,B,2578.238832997158,Correct,d
7,23,20,A,29.65172363175462,59.71513576340714,1.4825861815877313,0.938003159112185,A,867.9136250866577,Correct,k
7,23,21,B,68.7161465135226,39.28276444133033,3.4358073256761306,0.6170522209079086,B,1015.6689160503447,Correct,d
7,23,22,A,15.540403038907165,40.800312968270006,0.7770201519453582,0.640889817426407,A,851.2815829599276,Correct,k
7,23,23,A,50.45218430668088,78.85641431873887,2.5226092153340436,1.238673659560915,A,977.3508330108598,Correct,k
7,23,24,B,78.44422884126779,59.72906976781135,3.9222114420633893,0.9382220339415418,B,597.0794999739155,Correct,d
7,23,25,A,28.394733635535655,47.793226164693216,1.4197366817767827,0.7507342410517786,A,863.3255410240963,Correct,k
7,23,26,A,43.303375153477226,65.29767153629652,2.1651687576738614,1.0256934259747423,A,1336.2074990291148,Correct,k
7,23,27,A,58.261834093228494,78.98471300006827,2.9130917046614244,1.2406889705345634,A,1941.1086239852011,Correct,k
7,23,28,B,62.090394761387635,52.63331762040605,3.1045197380693814,0.8267622198516292,B,1930.5109579581767,Correct,d
7,23,29,A,26.738430133815335,37.00078983362934,1.336921506690767,0.5812070475917491,A,1635.4364580474794,Correct,k
7,23,30,B,45.37183041462269,35.05067542898267,2.268591520731135,0.5505747221552612,B,1726.6274989815429,Correct,d
7,23,31,A,17.71227378014493,37.49389501541778,0.8856136890072465,0.5889527256745173,A,1399.158291053027,Correct,k
7,23,32,A,32.694988442041975,53.21625142912463,1.6347494221020986,0.8359189227066264,A,1325.2707079518586,Correct,k
7,23,33,B,70.54679661434419,51.5910558170956,3.5273398307172097,0.8103904097296425,B,1106.5145409666002,Correct,d
7,23,34,B,36.898360814181316,21.39304223463234,1.844918040709066,0.33604112161128563,B,2369.8825830360875,Correct,d
7,23,35,B,66.49505957158792,48.59505907942918,3.324752978579396,0.7633294030234835,B,2443.0765829747543,Correct,d
7,23,36,B,66.42992928671322,37.341355001596064,3.321496464335661,0.5865566327405133,B,659.5736240269616,Correct,d
7,23,37,B,48.49411711051647,21.68957840411006,2.4247058555258234,0.34069910086905997,B,904.3442490510643,Correct,d
7,23,38,B,51.00986554808995,20.899770901094314,2.5504932774044975,0.32829283362293815,B,683.9781659655273,Correct,d
7,23,39,B,36.24901707123981,16.135542993004254,1.8124508535619908,0.2534565166425221,B,778.467083000578,Correct,d
7,23,40,B,49.43733144222148,34.201647032792906,2.471866572111074,0.5372382152944667,B,536.539625027217,Correct,d
7,23,41,B,84.82345746556365,64.47786231298412,4.241172873278183,1.0128158928082254,B,1650.5729989148676,Correct,d
7,23,42,A,45.43479041472999,67.98624441489942,2.2717395207364994,1.0679254299950405,A,978.5476659890264,Correct,k
7,23,43,B,57.71789992625337,38.80299264655996,2.8858949963126683,0.6095159831786576,B,882.4391240486875,Correct,d
7,23,44,A,45.99658756184371,58.519703837024515,2.2998293780921855,0.9192253583232333,A,2133.759416989051,Correct,k
7,23,45,B,35.509285591498454,23.429080930651043,1.7754642795749225,0.3680231426604702,B,1456.0587079031393,Correct,d
7,23,46,A,63.83500486632174,87.08113738741685,3.191750243316087,1.3678673074127612,A,1112.068873946555,Correct,k
7,23,47,B,60.417389390850616,35.562043767419325,3.020869469542531,0.5586072772318162,B,1341.653374955058,Correct,d
7,23,48,A,63.208360078266765,83.4371496128381,3.160418003913338,1.310627681300823,A,1365.813250071369,Correct,k
7,23,49,B,69.31804289881775,49.51664138046268,3.4659021449408876,0.7778055839565093,B,2561.5310409339145,Correct,d
7,23,50,A,65.21926726151474,81.45413272315952,3.2609633630757373,1.2794785248380296,A,992.756542051211,Correct,k
7,23,51,B,46.24385384347683,36.88906834554753,2.3121926921738414,0.5794521305607195,B,1044.6957499952987,Correct,d
7,23,52,B,61.685620945294914,41.7460924749336,3.0842810472647453,0.6557460871766577,B,765.4413740383461,Correct,d
7,23,53,B,39.38708863253936,12.553711050438118,1.969354431626968,0.19719323205672698,A,795.1271240599453,Incorrect,k
7,23,54,B,60.40130098485167,34.953648111083,3.0200650492425836,0.5490506206097054,B,1214.9797499878332,Correct,d
7,23,55,B,67.51605211811334,48.631350106212096,3.375802605905667,0.7638994611391455,B,1246.646248968318,Correct,d
7,23,56,B,60.34347562815613,47.868205024326876,3.017173781407806,0.7519120062247767,B,1252.9108750168234,Correct,d
