subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,ns_left_digit,ns_right_digit,ns_left_size,ns_right_size,ns_congruent,ns_cue,ns_correct_side,ns_resp,ns_rt,ns_fb
15,22,0,A,40.13527925922234,47.09694912619064,2.006763962961117,0.7397971469066638,B,6949.6864569955505,Incorrect,7,6,small,big,False,Size,right,right,1688.3287910022773,Correct
15,22,1,A,57.869976636576865,67.96550651924677,2.8934988318288437,1.067599679891874,A,2062.546332977945,Correct,4,3,big,small,True,Size,left,left,1342.2339580138214,Correct
15,22,2,A,20.310843124365302,40.70221625862222,1.0155421562182652,0.6393489179145532,A,1458.7360830046237,Correct,8,5,small,big,False,Size,right,right,788.2108330086339,Correct
15,22,3,A,67.09266894947926,88.25853730142059,3.3546334474739634,1.3863618620136182,A,1277.2662909992505,Correct,2,8,big,small,False,Value,right,right,1113.2969580066856,Correct
15,22,4,A,63.20036686115767,80.72830740425185,3.1600183430578834,1.2680772873896804,A,975.6748329964466,Correct,7,2,big,small,True,Value,left,left,1392.7084159804508,Correct
15,22,5,B,57.17163463575904,41.07664602618418,2.858581731787952,0.6452304469498429,B,783.2841239869595,Correct,3,2,small,big,False,Value,left,left,1153.6996240029112,Correct
15,22,6,B,36.64066521484024,21.50697775518163,1.8320332607420118,0.3378308165829886,B,1641.462290979689,Correct,3,4,big,small,False,Value,right,right,1175.3102079965174,Correct
15,22,7,B,64.64239467616545,34.67419686288278,3.2321197338082728,0.5446610106677939,B,817.1983319916762,Correct,2,5,big,small,False,Value,right,right,1171.992791001685,Correct
15,22,8,A,34.55099417545712,52.40036122225391,1.727549708772856,0.8231029493064218,A,703.659000020707,Correct,4,8,big,small,False,Size,left,left,1242.5689579977188,Correct
15,22,9,A,54.77021480218668,75.89497569090328,2.738510740109334,1.1921554903745883,A,901.094416010892,Correct,4,6,big,small,False,Value,right,right,778.082832985092,Correct
15,22,10,B,34.02231427624808,16.19921366327567,1.7011157138124042,0.25445665319239125,B,1041.648415994132,Correct,5,3,small,big,False,Size,right,right,1292.8522909933235,Correct
15,22,11,A,23.929057615510583,55.518127736624116,1.1964528807755292,0.8720767111921903,A,1536.973291018512,Correct,7,8,big,small,False,Size,left,left,867.3097080027219,Correct
15,22,12,A,33.573071655239005,59.69938259713016,1.6786535827619502,0.9377557089549522,A,1032.670499989763,Correct,8,4,small,big,False,Size,right,right,983.6357079911977,Correct
15,22,13,A,40.920159233626904,60.55871769426139,2.0460079616813456,0.951254113095549,A,836.0220000031404,Correct,4,7,big,small,False,Value,right,right,1431.8197910033632,Correct
15,22,14,B,75.89237624019063,63.49537243365043,3.7946188120095314,0.9973829778725204,B,1061.6139579797164,Correct,6,2,small,big,False,Size,right,right,1037.0664990041405,Correct
15,22,15,A,29.919488850441546,50.97346710557311,1.4959744425220773,0.8006893489343472,A,965.959291002946,Correct,8,7,big,small,True,Value,left,left,831.6846660163719,Correct
15,22,16,A,36.73513317268913,52.42016622459615,1.8367566586344566,0.8234140455557354,A,1118.8559580186848,Correct,2,6,big,small,False,Size,left,left,858.0631660006475,Correct
15,22,17,A,17.577763436193326,39.976569908940974,0.8788881718096663,0.6279504917082387,A,868.4815820015501,Correct,2,7,big,small,False,Size,left,left,897.951124003157,Correct
15,22,18,A,24.798138525485705,39.332253875842554,1.2399069262742852,0.6178295991273782,A,888.1416240183171,Correct,5,6,big,small,False,Value,right,right,1350.018416007515,Correct
15,22,19,B,60.7598762665789,51.248548639075565,3.037993813328945,0.805010319558295,B,1446.1521659977734,Correct,6,4,small,big,False,Size,right,right,751.0767499916255,Correct
15,22,20,A,14.508087630294003,34.11758694399088,0.7254043815147001,0.5359178025072638,A,1278.5644569958095,Correct,7,6,small,big,False,Size,right,right,1120.997999998508,Correct
15,22,21,B,66.16567272597908,47.7866127783506,3.3082836362989543,0.7506303582220318,B,1286.2070820119698,Correct,7,3,small,big,False,Value,left,left,1536.4735829934943,Correct
15,22,22,B,79.64572473620608,66.0819895736324,3.982286236810304,1.0380134648956043,B,774.041083001066,Correct,8,6,small,big,False,Value,left,left,886.074208014179,Correct
15,22,23,B,45.07984877469289,35.91143598667449,2.2539924387346444,0.5640955173779835,B,713.2957490102854,Correct,2,7,big,small,False,Value,right,right,899.3195829971228,Correct
15,22,24,A,42.4955640574824,57.465082072121206,2.12477820287412,0.9026593983785525,A,1369.9967910069972,Correct,3,2,small,big,False,Size,right,right,1148.4394579892978,Correct
15,22,25,B,87.51207027718613,65.19830175454176,4.375603513859306,1.0241325290929946,B,2031.4081239921506,Correct,7,8,big,small,False,Size,left,right,972.0782910007983,Incorrect
15,22,26,A,34.85533582194195,58.02428576172966,1.7427667910970974,0.9114433493942238,A,948.8117910223082,Correct,7,5,small,big,False,Value,left,left,2377.6458330103196,Correct
15,22,27,B,54.994757683755054,24.215209990260664,2.7497378841877524,0.38037162905268534,B,1764.8875000013504,Correct,7,3,small,big,False,Size,right,right,1465.2746250212658,Correct
15,22,28,B,49.861616861376746,40.72031403983509,2.4930808430688374,0.6396331971970761,B,1593.4939570142888,Correct,3,6,small,big,True,Value,right,right,1462.1318749850616,Correct
