subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,resp_key
15,24,0,B,62.55813246655125,40.09447758089432,3.1279066233275628,0.6298025810882913,B,1109.9649580137338,Correct,d
15,24,1,B,68.75269816187227,56.38966692674009,3.4376349080936137,0.88576681677711,B,1431.8742920004297,Correct,d
15,24,2,A,40.59945602758732,49.16091001366904,2.0299728013793663,0.7722177687136575,A,1407.6937490026467,Correct,k
15,24,3,A,15.556758760981218,35.540914937454716,0.7778379380490609,0.5582753863468374,A,745.3087489993777,Correct,k
15,24,4,B,65.81633139098925,33.60689361486601,3.2908165695494627,0.527895850452184,B,692.087207979057,Correct,d
15,24,5,A,15.9999070488117,44.1331749568395,0.7999953524405851,0.69324229112,A,634.4220410101116,Correct,k
15,24,6,A,17.82155213444343,38.75737062454151,0.8910776067221715,0.6087993541325823,A,1856.5617490094155,Correct,k
15,24,7,B,71.8984416835806,39.640550700683434,3.59492208417903,0.6226723143276041,B,736.1599169962574,Correct,d
15,24,8,B,73.11280603346857,40.53497483986861,3.655640301673429,0.6367218958518917,A,676.1167910008226,Incorrect,k
15,24,9,A,25.5869032480975,39.603634200838115,1.279345162404875,0.6220924313040526,A,1472.670500021195,Correct,k
15,24,10,B,77.96871696291849,59.99825895907124,3.8984358481459247,0.942450447869981,B,978.8161659962498,Correct,d
15,24,11,A,50.723206773982085,66.39377286480524,2.5361603386991045,1.0429109453809073,A,714.0702079923358,Correct,k
15,24,12,B,41.70581869507904,29.446936936133397,2.085290934753952,0.46255140374639314,B,641.7321659973823,Correct,d
15,24,13,B,73.89411802523992,49.73085559068862,3.6947059012619956,0.7811704529022113,B,1168.625541991787,Correct,d
15,24,14,A,23.822817759405034,53.35914018620711,1.1911408879702519,0.8381634140542809,A,647.765124012949,Correct,k
15,24,15,B,53.61940131790418,26.563674954401904,2.680970065895209,0.417261230445481,B,735.7410410186276,Correct,d
15,24,16,B,67.58071888290512,48.48443946567438,3.3790359441452558,0.7615917941939082,B,2074.555541999871,Correct,d
15,24,17,A,18.042474319067736,43.80148066701915,0.9021237159533868,0.6880320493993136,A,674.5375000173226,Correct,k
15,24,18,A,20.087783656265835,47.872815786770865,1.0043891828132916,0.7519844319118841,A,1262.6494989963248,Correct,k
15,24,19,B,61.99264293208151,48.99673882377249,3.0996321466040753,0.7696389736931072,B,1474.8202499758918,Correct,d
15,24,20,A,44.7787151993135,76.27882717412945,2.238935759965675,1.1981850153734528,A,924.4342500169296,Correct,k
15,24,21,A,16.1337911919984,33.9359148380808,0.8066895595999201,0.5330641037408175,A,976.7612910072785,Correct,k
15,24,22,B,70.09202892129846,60.13972594881224,3.5046014460649233,0.9446726061484598,B,1906.7328329838347,Correct,d
15,24,23,B,65.39021207177099,56.82015045229382,3.2695106035885493,0.8925288361839652,B,1326.8466239969712,Correct,d
15,24,24,B,69.72284364741796,58.523013996916085,3.486142182370898,0.919277354193221,A,715.5460419890005,Incorrect,k
15,24,25,A,52.90738614023356,64.64003154412097,2.6453693070116784,1.0153632411341147,A,1117.7758749981876,Correct,k
15,24,26,A,33.05844344520281,59.474455985290035,1.6529221722601406,0.9342225699981832,A,1793.0809159879573,Correct,k
15,24,27,B,47.37706703254884,28.92989881016877,2.368853351627442,0.4544297878556115,B,937.3793750128243,Correct,d
15,24,28,B,76.05066705745776,48.49123234075909,3.8025333528728877,0.7616984964262228,B,1047.3747499927413,Correct,d
15,24,29,A,23.753653414180352,49.007419209495154,1.1876826707090176,0.7698067407997263,A,628.6160409799777,Correct,k
15,24,30,B,53.322778578446574,41.12064163325494,2.6661389289223285,0.6459215283296615,B,4981.98300000513,Correct,d
15,24,31,A,69.61309972284946,86.04447698989172,3.480654986142473,1.351583483967099,A,2213.607667014003,Correct,k
15,24,32,A,42.94019317529341,51.6136063124206,2.1470096587646705,0.8107446320818815,B,5930.771123996237,Incorrect,d
15,24,33,B,66.77723856972767,47.70510595689026,3.3388619284863834,0.7493500520644454,B,1428.6499159934465,Correct,d
15,24,34,B,44.53657762346208,18.70589305106277,2.226828881173104,0.2938314809402757,B,805.8375830005389,Correct,d
15,24,35,B,41.77010397029214,33.14569708032436,2.088505198514607,0.5206513922282984,B,1113.7729170150124,Correct,d
15,24,36,A,39.017345180440415,48.179621315932295,1.9508672590220208,0.7568037218943555,B,1488.611208013026,Incorrect,d
15,24,37,B,52.149357721918356,27.47430173869831,2.6074678860959177,0.4315653225240194,B,819.3052079877816,Correct,d
15,24,38,B,75.64009924426536,54.083205352968484,3.782004962213268,0.8495370030973698,B,776.206957991235,Correct,d
15,24,39,A,16.07434669084843,44.188499265326456,0.8037173345424214,0.6941113233255378,A,1357.111499994062,Correct,k
15,24,40,A,60.69883829524452,83.7736698419065,3.0349419147622263,1.3159137286979514,A,997.2934999968857,Correct,k
15,24,41,A,19.123250016378318,36.09833347078472,0.956162500818916,0.5670312961932592,A,839.444540994009,Correct,k
15,24,42,A,42.231711095474104,68.87595661885105,2.1115855547737055,1.0819009966137587,A,602.3408329929225,Correct,k
15,24,43,B,51.611468643227724,31.705424624715967,2.5805734321613865,0.4980276453997631,B,707.7827919856645,Correct,d
15,24,44,B,83.48798001054544,67.23110616732824,4.174399000527273,1.0560637461399691,B,1302.7766250015702,Correct,d
15,24,45,A,22.22029457634933,35.89932118896644,1.1110147288174665,0.5639052185805868,A,1684.1512079990935,Correct,k
15,24,46,B,51.584022968747874,40.64762929580414,2.579201148437394,0.6384914679076977,A,2492.050915985601,Incorrect,k
15,24,47,B,84.7090729296907,66.89929798876585,4.235453646484535,1.050851715459106,B,3461.7894160037395,Correct,d
15,24,48,A,55.316954459751564,78.8049341757733,2.765847722987578,1.237865011366183,A,1313.372041011462,Correct,k
15,24,49,A,16.487281786233513,35.81094186069871,0.8243640893116756,0.5625169593385113,A,894.2654580168892,Correct,k
15,24,50,B,84.10279059335005,66.697041262954,4.205139529667503,1.047674674239358,B,1358.345624001231,Correct,d
15,24,51,A,63.84307487518963,89.11555477286582,3.192153743759482,1.3998238609750704,A,1801.5653750044294,Correct,k
15,24,52,A,31.725778926338386,51.26067507891257,1.5862889463169194,0.8052008012298256,A,1534.7960419894662,Correct,k
15,24,53,A,64.67111964486192,75.1086199864554,3.2335559822430957,1.179803443853579,A,494.9827490199823,Correct,k
15,24,54,B,60.29401527594164,51.93392972569813,3.014700763797082,0.8157762604915091,A,3049.3826669990085,Incorrect,k
15,24,55,B,46.528088183519266,19.312030462899596,2.326404409175963,0.30335266514073833,B,1337.3119159950875,Correct,d
15,24,56,B,77.6729516179298,53.41570073998736,3.88364758089649,0.8390518651554758,A,779.2086249974091,Incorrect,k
15,24,57,B,43.84905173264974,17.426002507608477,2.192452586632487,0.2737270072967005,B,1661.6359580075368,Correct,d
15,24,58,A,31.7877775325017,55.80435077204551,1.589388876625085,0.8765726921190304,A,3829.70658299746,Correct,k
15,24,59,B,48.05899450378855,18.983556524380553,2.402949725189427,0.29819300858000264,B,2062.2985410154797,Correct,d
15,24,60,A,41.0784074195181,69.41069290047017,2.053920370975905,1.0903006144834713,A,2736.1359159986023,Correct,k
15,24,61,B,66.83949682264982,43.39007028590608,3.341974841132491,0.6815696302447366,B,1519.209124991903,Correct,d
15,24,62,A,29.50651596181481,39.60461593729878,1.4753257980907404,0.6221078523843154,A,2171.3700409745798,Correct,k
15,24,63,B,76.89288354131773,59.29418334338449,3.844644177065886,0.9313908539609149,B,1456.5838330017868,Correct,d
15,24,64,B,30.719480250794735,12.890575730157423,1.5359740125397368,0.20248469007202724,B,1271.895666985074,Correct,d
15,24,65,B,59.666007300323564,44.8901215236006,2.9833003650161785,0.7051323799864835,B,3511.5440410154406,Correct,d
15,24,66,B,40.04519866776864,24.03166651928787,2.002259933388432,0.37748853495257284,B,4205.428083019797,Correct,d
15,24,67,B,61.09099503240396,43.269684736123736,3.0545497516201983,0.6796786184507636,B,872.4519580136985,Correct,d
15,24,68,A,43.23998137824132,59.49269362499316,2.1619990689120656,0.9345090461727341,A,953.7278749921825,Correct,k
15,24,69,A,38.14654885620804,63.57777791986948,1.907327442810402,0.9986774002231266,A,2152.1154580113944,Correct,k
15,24,70,B,59.5665449547059,35.16600932198385,2.978327247735295,0.5523863827100732,B,995.3942499996629,Correct,d
15,24,71,A,58.534088381219235,73.37055129490557,2.926704419060962,1.1525019246895418,A,918.7296240124851,Correct,k
15,24,72,A,17.994332003471165,44.47358077936639,0.8997166001735581,0.6985893732764482,A,1067.3603749892209,Correct,k
15,24,73,B,48.287718135320844,28.29896425312069,2.4143859067660425,0.44451909100902065,B,7553.048750007292,Correct,d
15,24,74,A,51.95726576179002,78.67692807915887,2.597863288089501,1.23585429630249,A,1421.9098330067936,Correct,k
15,24,75,B,52.7987405540233,36.773212310097065,2.639937027701165,0.5776322682114934,B,1208.0349159950856,Correct,d
15,24,76,A,37.17916061491454,55.52005267763165,1.8589580307457267,0.8721069480948297,A,795.7373739918694,Correct,k
15,24,77,A,41.743749860045554,60.37360006337074,2.087187493002278,0.9483462921492689,A,1446.9252490089275,Correct,k
15,24,78,A,30.129670890491923,60.2958534305426,1.506483544524596,0.9471250508965978,A,726.777999982005,Correct,k
15,24,79,B,50.42509979563779,37.96296747628481,2.521254989781889,0.596320898659823,B,1847.2914999874774,Correct,d
15,24,80,B,73.83908765203958,55.2852191617409,3.691954382601979,0.8684181918531343,B,1736.0622079868335,Correct,d
15,24,81,A,16.49993899269711,46.11230538224985,0.8249969496348555,0.7243303991448261,A,1014.9092499923427,Correct,k
15,24,82,A,43.931869740725666,61.03246790207454,2.1965934870362833,0.9586957639580613,A,3668.5519159946125,Correct,k
15,24,83,A,17.26870245828408,43.65085709187193,0.863435122914204,0.6856660598136138,B,1064.944458019454,Incorrect,d
15,24,84,B,49.41955780698348,26.73121290707989,2.470977890349174,0.4198929104521341,B,1585.4110829823185,Correct,d
15,24,85,B,32.71461456081106,18.064190964417147,1.635730728040553,0.2837516481342801,B,876.330916013103,Correct,d
15,24,86,A,63.769400117160316,87.00100035219545,3.188470005858016,1.366608517807101,A,1126.241582998773,Correct,k
15,24,87,B,82.49345675895499,58.38077234821503,4.12467283794775,0.9170430276002524,B,1051.6936250205617,Correct,d
15,24,88,A,34.33418287284511,57.81809793358303,1.7167091436422555,0.9082045585633984,A,1247.0082919753622,Correct,k
15,24,89,A,17.48890621325044,40.732437795700534,0.8744453106625221,0.6398236367088802,A,1318.9750000019558,Correct,k
15,24,90,B,68.27993937845993,37.01466683576546,3.413996968922996,0.5814250270315726,B,1922.2821239964105,Correct,d
15,24,91,B,34.051622099285524,22.05825559673616,1.702581104964276,0.34649026866856136,A,2037.919750000583,Incorrect,k
15,24,92,A,42.102442692786155,51.55340645203385,2.105122134639308,0.8097990148861909,A,945.6606250023469,Correct,k
15,24,93,B,53.64291181401632,36.6023369757748,2.6821455907008165,0.5749481647365609,B,1274.3344990012702,Correct,d
15,24,94,A,40.4219548967216,52.973582607940806,2.02109774483608,0.8321070897771945,A,1360.4621239937842,Correct,k
15,24,95,A,25.229853510850965,40.98182761915092,1.2614926755425484,0.6437410428950391,B,1175.7587500032969,Incorrect,d
15,24,96,A,62.67264249807094,83.77884585395664,3.1336321249035475,1.3159950333051094,A,1023.1152499909513,Correct,k
15,24,97,B,69.30516955415784,39.065443568965414,3.465258477707892,0.6136385526274419,B,659.2361670045648,Correct,d
15,24,98,B,57.80332862468668,44.580261200569566,2.890166431234334,0.7002651054141172,B,767.8311660129111,Correct,d
15,24,99,A,62.470500506606214,74.80626539742029,3.1235250253303106,1.1750540690751197,A,1656.6034170100465,Correct,k
15,24,100,A,58.46305616810895,72.76940822067193,2.9231528084054474,1.1430591913606982,A,1581.340958015062,Correct,k
15,24,101,B,61.71519732588879,37.13743516194837,3.0857598662944397,0.5833534673897213,B,722.918750019744,Correct,d
15,24,102,B,61.420912376193016,33.28002360836324,3.071045618809651,0.5227613883966441,B,800.8408739988226,Correct,d
15,24,103,A,65.35696321939142,82.67908923940853,3.2678481609695713,1.2987200968001036,A,646.1854579974897,Correct,k
15,24,104,A,34.61565516780545,48.152851243683315,1.7307827583902724,0.7563832185827882,A,1144.5699579780921,Correct,k
15,24,105,A,49.579500583289295,64.72875535874134,2.4789750291644648,1.0167569115551638,A,1175.2581659820862,Correct,k
15,24,106,B,48.83220454508278,38.779900597845035,2.4416102272541393,0.609153254125662,B,1490.6656660023145,Correct,d
15,24,107,A,44.42843599157995,60.90108017115558,2.2214217995789975,0.9566319303069268,A,722.0379159844015,Correct,k
15,24,108,B,45.430911566568874,24.796779293647575,2.271545578328444,0.38950689830805363,B,890.0599580083508,Correct,d
15,24,109,A,49.52948961001985,62.56883307193606,2.4764744805009924,0.9828289316124021,A,2288.7771250098012,Correct,k
15,24,110,B,37.94429475119142,19.775683643848097,1.8972147375595712,0.3106357122761451,B,1348.9849579927977,Correct,d
15,24,111,A,58.07405033318767,73.15076469331173,2.9037025166593833,1.1490495248249186,A,910.8059580030385,Correct,k
15,24,112,A,33.582850832136344,45.01315575853611,1.679142541606817,0.7070649972295506,A,2175.097250001272,Correct,k
15,24,113,A,31.452941464181478,40.85280554644895,1.572647073209074,0.6417143689162818,A,1012.9774170054588,Correct,k
15,24,114,A,56.08988592406669,65.62340825887316,2.804494296203335,1.0308100864479983,A,930.9751660039183,Correct,k
15,24,115,A,35.05217755275623,49.807711562270946,1.7526088776378115,0.7823777036807491,A,979.3248740024865,Correct,k
15,24,116,B,70.41442845148065,59.40038484867411,3.5207214225740326,0.9330590633050051,A,7509.667082980741,Incorrect,k
15,24,117,B,72.52185268243498,47.078892829461175,3.626092634121749,0.739513519260882,B,2108.542917005252,Correct,d
15,24,118,B,54.8871410723869,47.459375332916736,2.7443570536193453,0.7454901244492592,B,6785.204165993491,Correct,d
15,24,119,B,69.97958690460341,36.92148105215963,3.4989793452301705,0.5799612681655971,B,964.6239579888061,Correct,d
15,24,120,A,57.485471622818224,68.96001732478838,2.8742735811409115,1.0832214190949003,A,2821.8867079995107,Correct,k
15,24,121,A,55.76164255383461,78.87954997186975,2.7880821276917307,1.2390370735504748,A,2742.3314999905415,Correct,k
15,24,122,B,88.20471969798452,67.18364656436376,4.410235984899225,1.0553182524398916,A,1630.701374990167,Incorrect,k
15,24,123,A,26.580973012051864,58.44530673356356,1.3290486506025931,0.9180567313548268,A,1293.3809579990339,Correct,k
15,24,124,A,43.144765164866584,74.50888669211513,2.1572382582433294,1.170382855295516,B,1687.750999990385,Incorrect,d
15,24,125,B,82.06933235016479,68.33629871671225,4.103466617508239,1.0734240701097042,A,1254.2152919922955,Incorrect,k
15,24,126,B,34.20446944973746,15.520983124441926,1.710223472486873,0.24380303280118956,B,864.0051249822136,Correct,d
15,24,127,B,53.5775973559765,41.899965409898584,2.678879867798825,0.6581631175870192,A,823.99758300744,Incorrect,k
15,24,128,A,20.73231400710488,51.29222487306107,1.0366157003552439,0.8056963842374216,A,888.0788740061689,Correct,k
15,24,129,A,29.711924489461246,39.91568362314743,1.4855962244730623,0.6269940921674718,A,3266.3642919796985,Correct,k
